iter	RMSE
126	0.2153665507
127	0.2151722134
128	0.2150580533
129	0.2149319689
130	0.2147792452
131	0.2146921698
132	0.2144775801
133	0.2143656589
134	0.2142045231
135	0.2140795477
136	0.2139861422
137	0.2137858623
138	0.2136600111
139	0.213408653
140	0.2132411394
141	0.213091208
142	0.2128492464
143	0.2127435625
144	0.2126527817
145	0.2124312264
146	0.2121726422
147	0.2120457276
148	0.211868741
149	0.211697875
150	0.2114908082
151	0.2113941708
152	0.2112395393
153	0.2111020375
154	0.2109979644
155	0.210873467
156	0.2107891762
157	0.2106190764
158	0.2104706367
159	0.2102480195
160	0.2100523728
161	0.2099122161
162	0.2098179146
163	0.2097493636
164	0.2095734451
165	0.2094342272
166	0.2092619031
167	0.2092149404
168	0.2091023731
169	0.2089808314
170	0.2088433041
171	0.2087233221
172	0.2085811007
173	0.2083970577
174	0.2082697967
175	0.2081311665
176	0.2080090266
177	0.2078677003
178	0.207773224
179	0.2076494886
180	0.2075311697
181	0.2074212485
182	0.2072484234
183	0.2071356208
184	0.2069668435
185	0.206850952
186	0.2067542209
187	0.2066721031
188	0.2066195332
189	0.2064823028
190	0.2064237741
191	0.2062603752
192	0.2061660119
193	0.2060867099
194	0.2059948592
195	0.2058608014
196	0.205726354
197	0.2056283074
198	0.205505078
199	0.2054230738
200	0.2052741375
201	0.2051696998
202	0.2050638845
203	0.2049837778
204	0.2049013567
205	0.2048051429
206	0.2047517873
207	0.2046985703
208	0.2046269539
209	0.2045135098
210	0.2043919862
211	0.2043396497
212	0.204232394
213	0.2041411614
214	0.2040375726
215	0.2039618466
216	0.2038388031
217	0.2037114659
218	0.2035916375
219	0.2035231027
220	0.2034344797
221	0.2032965722
222	0.2032313858
223	0.2031556133
224	0.2030684713
225	0.2030144229
226	0.2029365404
227	0.2028375519
228	0.2027430178
229	0.202687936
230	0.2025879264
231	0.2024881164
232	0.2023889113
233	0.2022794286
234	0.2021846082
235	0.2020755116
236	0.2019872587
237	0.2019316923
238	0.2018374297
239	0.2017971542
240	0.201727053
241	0.2016483012
242	0.2016110773
243	0.2015561714
244	0.2014767183
245	0.201400103
246	0.2013539844
247	0.2012983348
248	0.2012205428
249	0.2011526944
250	0.201075577
251	0.2009884239
252	0.2009316115
253	0.2008654832
254	0.2008069898
255	0.2007574511
256	0.2007060437
257	0.2005956442
258	0.2005499201
259	0.2004784747
260	0.200401457
261	0.200350362
262	0.200234034
263	0.2001596325
264	0.2000857784
265	0.2000221465
266	0.199930681
267	0.1998364958
268	0.1997912315
269	0.1997334862
270	0.1996863903
271	0.199639073
272	0.1995800379
273	0.1994841979
274	0.1994486996
275	0.1993755128
276	0.1993210938
277	0.199216692
278	0.1991833087
279	0.199132743
280	0.1990885563
281	0.1990397674
282	0.1990081711
283	0.1989464095
284	0.1988701464
285	0.198822411
286	0.1987578337
287	0.1986927992
288	0.1986579235
289	0.1985968436
290	0.198520716
291	0.1984645758
292	0.1984159684
293	0.1983253771
294	0.1983142297
295	0.1982651669
296	0.1982193739
297	0.1981143386
298	0.1980824142
299	0.1980186782
300	0.1978975117
301	0.1978668474
302	0.1977837989
303	0.1976823986
304	0.1976011932
305	0.1975278627
306	0.1974421858
307	0.1973411715
308	0.1972556742
309	0.1971758142
310	0.1971283346
311	0.1971081868
312	0.1970347903
313	0.1970094651
314	0.196999711
315	0.1969056523
316	0.1968315867
317	0.1967719503
318	0.1967205272
319	0.1966343647
320	0.1966011832
321	0.1965812884
322	0.196525111
323	0.1964567598
324	0.1963881865
325	0.1963432218
326	0.1962980778
327	0.1962731305
328	0.1962092966
329	0.196137348
330	0.196092606
331	0.1960376774
332	0.1959759469
333	0.1959620008
334	0.1959368938
335	0.1958806195
336	0.1957958068
337	0.1957395374
338	0.1956725418
339	0.1956304016
340	0.1955953176
341	0.1955548239
342	0.1955018012
343	0.195469217
344	0.1954356411
345	0.1953824197
346	0.1952973076
347	0.1952595294
348	0.1952321425
349	0.1951803665
350	0.1951462516
351	0.1950934036
352	0.1950343148
353	0.194965784
354	0.19488667
355	0.1948405703
356	0.1948308883
357	0.1948080788
358	0.1947066438
359	0.1946458946
360	0.1945909836
361	0.1945396372
362	0.1945059577
363	0.194453228
364	0.1944195333
365	0.1943881625
366	0.1943188141
367	0.1942891535
368	0.1942379859
369	0.1942017481
370	0.194156663
371	0.194118566
372	0.1940933382
373	0.1940529348
374	0.1939938889
375	0.1939357948
376	0.1938609093
377	0.1937750413
378	0.1937629963
379	0.1937211687
380	0.1937021625
381	0.1936636949
382	0.1936298919
383	0.1935578656
384	0.1934840129
385	0.1934370998
386	0.1933660787
387	0.1933310123
388	0.193309158
389	0.1932501598
390	0.1931876934
391	0.1931176421
392	0.1930558703
393	0.1929869556
394	0.1929425212
395	0.1928899141
396	0.1928092012
397	0.1928022987
398	0.1927713017
399	0.1927230168
400	0.1926853562
401	0.1926575866
402	0.1925946447
403	0.1925653257
404	0.1925138784
405	0.1924622314
406	0.1923932931
407	0.1923543542
408	0.192308787
409	0.1922425963
410	0.1921684318
411	0.1921321919
412	0.1921113982
413	0.1920916521
414	0.1920367498
415	0.191982146
416	0.1919213411
417	0.1919053564
418	0.191881437
419	0.1918306043
420	0.1917937362
421	0.1917541463
422	0.1917255996
423	0.1917046428
424	0.1916681217
425	0.1916293602
426	0.1915469241
427	0.1914994725
428	0.1914446146
429	0.1914320133
430	0.1913857325
431	0.1913403367
432	0.1913007306
433	0.191276316
434	0.1912198468
435	0.1911635431
436	0.191127364
437	0.1910679922
438	0.1910100083
439	0.1909586415
440	0.1909101973
441	0.1908492803
442	0.1908002371
443	0.1907636345
444	0.190728534
445	0.1907123853
446	0.1906803749
447	0.1906269742
448	0.1905663423
449	0.1905330816
450	0.1904838277
451	0.1904584619
452	0.1903966889
453	0.1903491674
454	0.1903067918
455	0.1902671136
456	0.1902433193
457	0.1902135084
458	0.1901747939
459	0.1901527126
460	0.1901106074
461	0.1900672845
462	0.1900252658
463	0.1899819815
464	0.189941235
465	0.1899257769
466	0.1898746181
467	0.1898153114
468	0.189735385
469	0.1897091616
470	0.1896678531
471	0.1896256797
472	0.1895991016
473	0.1895229062
474	0.189485952
475	0.1894642845
476	0.1894363002
477	0.1894030419
478	0.1893749444
479	0.1893396641
480	0.1892894622
481	0.1892571378
482	0.1892037924
483	0.1891520101
484	0.1891141832
485	0.1890595392
486	0.1890178955
487	0.1889935572
488	0.1889660189
489	0.1889238127
490	0.1888605063
491	0.1888365196
492	0.1887996878
493	0.1887778449
494	0.1887405194
495	0.1886913872
496	0.1886597085
497	0.1886097855
498	0.1885766672
499	0.1885352524
500	0.1884846069
501	0.188453193
502	0.1884318438
503	0.1884040392
504	0.1883750404
505	0.1883406426
506	0.1883096019
507	0.1882730272
508	0.1882043161
509	0.1881735909
510	0.1881476849
511	0.1881181415
512	0.1880759534
513	0.1880238446
514	0.1879891832
515	0.1879637342
516	0.1879234594
517	0.1878946628
518	0.1878752596
519	0.1878337311
520	0.1878079167
521	0.1877780734
522	0.1877249747
523	0.1876951396
524	0.1876425235
525	0.187596859
526	0.1875853472
527	0.1875428548
528	0.1875054593
529	0.1874607309
530	0.187423233
531	0.1874185307
532	0.1873896203
533	0.1873442129
534	0.1873195938
535	0.18728088
536	0.1872427829
537	0.187196171
538	0.1871651603
539	0.1871326651
540	0.1870966658
541	0.1870718143
542	0.1870380708
543	0.1870171771
544	0.1869912742
545	0.186944822
546	0.1868930807
547	0.1868524271
548	0.1868261794
549	0.1868021518
550	0.1867979038
551	0.1867479603
552	0.1867271686
553	0.1867101511
554	0.1866601085
555	0.1866326719
556	0.1866036839
557	0.1865820874
558	0.1865424437
559	0.1865005615
560	0.186484
561	0.1864617444
562	0.1864405659
563	0.1864060021
564	0.1863674341
565	0.1863388179
566	0.1863030943
567	0.1862790362
568	0.186255659
569	0.1862354095
570	0.1862137123
571	0.1861852534
572	0.1861579253
573	0.1861484186
574	0.1861304802
575	0.1861013478
576	0.1860713103
577	0.1860350133
578	0.1860060096
579	0.1859934058
580	0.1859734399
581	0.1859391743
582	0.1859129781
583	0.1858753947
584	0.1858619092
585	0.1858278946
586	0.1858117718
587	0.1857869015
588	0.1857606201
589	0.1857260687
590	0.1856996436
591	0.1856549206
592	0.1856368017
593	0.185615355
594	0.1855923803
595	0.1855611092
596	0.1855346646
597	0.1855178302
598	0.1854930723
599	0.185450607
600	0.1854102776
601	0.1853871862
602	0.185360726
603	0.1853050514
604	0.1852713391
605	0.1852368542
606	0.1852138017
607	0.1851824757
608	0.1851745262
609	0.1851518474
610	0.1851296188
611	0.185110633
612	0.185082396
613	0.1850445618
614	0.1850234487
615	0.1849912687
616	0.1849685616
617	0.1849445727
618	0.1849090663
619	0.1848740732
620	0.1848529773
621	0.1848218369
622	0.1847884179
623	0.1847718941
624	0.1847338636
625	0.1847188793
626	0.184683149
627	0.1846546424
628	0.184635812
629	0.1845895129
630	0.1845540736
631	0.1845164561
632	0.1844947615
633	0.1844581247
634	0.184426344
635	0.1843933015
636	0.1843741002
637	0.184345401
638	0.1843258912
639	0.1842970574
640	0.184280374
641	0.1842523383
642	0.1842233513
643	0.1842000892
644	0.1841771822
645	0.1841368504
646	0.1841150039
647	0.1840797306
648	0.1840314376
649	0.1840144762
650	0.1839798763
651	0.1839632327
652	0.1839430722
653	0.1839250192
654	0.1838939745
655	0.1838557334
656	0.1838363292
657	0.183791251
658	0.1837593833
659	0.183721237
660	0.1836964293
661	0.183661781
662	0.1836384463
663	0.1836170326
664	0.1836008124
665	0.1835781363
666	0.1835629517
667	0.1835470916
668	0.1835248804
669	0.1835058116
670	0.1834871642
671	0.1834609367
672	0.1834275596
673	0.1834016855
674	0.1833824165
675	0.1833614873
676	0.1833350998
677	0.1833154794
678	0.1832890355
679	0.1832595494
680	0.1832458709
681	0.1832189325
682	0.1831853206
683	0.1831656387
684	0.1831361986
685	0.1830955372
686	0.1830544911
687	0.183020729
688	0.1829883901
689	0.1829548001
690	0.1829323667
691	0.182923056
692	0.1828905542
693	0.1828673757
694	0.1828379188
695	0.1828149883
696	0.1828135683
697	0.1827968881
698	0.1827455706
699	0.1827205754
700	0.1826984561
701	0.1826566248
702	0.1826317814
703	0.182592854
704	0.1825677515
705	0.1825370285
706	0.1825100116
707	0.1825029655
708	0.1824819054
709	0.1824517433
710	0.1824143134
711	0.1823886817
712	0.1823620832
713	0.1823132954
714	0.1822692069
715	0.182241996
716	0.1822097598
717	0.1821811292
718	0.1821518271
719	0.1821162281
720	0.1820946778
721	0.1820762688
722	0.1820579744
723	0.1820235577
724	0.1819962156
725	0.1819645733
726	0.181941906
727	0.181900816
728	0.1818896417
729	0.1818713783
730	0.1818481422
731	0.1818281801
732	0.1817747611
733	0.1817416662
734	0.1817256799
735	0.1817076363
736	0.1816788204
737	0.1816469449
738	0.1816333245
739	0.181606332
740	0.181591981
741	0.1815760663
742	0.1815528326
743	0.1815284489
744	0.1815130938
745	0.1814933282
746	0.1814692106
747	0.1814359043
748	0.1814024911
749	0.1813764512
750	0.1813500984
751	0.1813266603
752	0.1813084826
753	0.1812746867
754	0.181247302
755	0.1812051701
756	0.1811981498
757	0.1811604965
758	0.1811401886
759	0.1811321984
760	0.1811161036
761	0.1810956267
762	0.1810817749
763	0.1810493962
764	0.1810215892
765	0.1810047751
766	0.1809736142
767	0.1809484575
768	0.1809311073
769	0.1809046544
770	0.1808805375
771	0.1808586999
772	0.1808469389
773	0.180807747
774	0.1807938128
775	0.1807796555
776	0.1807520035
777	0.180737983
778	0.1807286597
779	0.1807118309
780	0.1806786542
781	0.1806505044
782	0.1806443639
783	0.1806200352
784	0.1805905778
785	0.1805693482
786	0.1805372888
787	0.1805202052
788	0.1804967751
789	0.1804761862
790	0.1804463755
791	0.1804319157
792	0.1803984138
793	0.1803677512
794	0.1803493395
795	0.1803252274
796	0.1803155711
797	0.1802980187
798	0.1802854929
799	0.1802733577
800	0.1802568046
801	0.1802260296
802	0.1802085668
803	0.1801778392
804	0.1801514664
805	0.1801373796
806	0.1800982333
807	0.1800590052
808	0.1800297546
809	0.180014224
810	0.1800022114
811	0.1799707164
812	0.1799578948
813	0.1799290057
814	0.1799117971
815	0.1798968937
816	0.1798861074
817	0.1798600505
818	0.1798383035
819	0.1798013762
820	0.179783737
821	0.179749362
822	0.1797115552
823	0.1796908067
824	0.179667762
825	0.1796352038
826	0.1796128194
827	0.1795895771
828	0.1795793714
829	0.1795588951
830	0.1795438712
831	0.1795025757
832	0.1794807363
833	0.179455869
834	0.179441073
835	0.1794304513
836	0.1794028065
837	0.1793847944
838	0.179362706
839	0.1793424192
840	0.1793151216
841	0.1793141043
842	0.1792881694
843	0.1792630986
844	0.1792344377
845	0.1792179422
846	0.1792000433
847	0.1791834623
848	0.179160673
849	0.1791326495
850	0.1791262589
851	0.179093739
852	0.1790798478
853	0.1790687616
854	0.1790460441
855	0.1790255396
856	0.1790040044
857	0.1789647458
858	0.1789396646
859	0.1789247749
860	0.1789108008
861	0.1789012502
862	0.1788728717
863	0.1788480319
864	0.1788250128
865	0.1788045863
866	0.178789869
867	0.1787678451
868	0.1787468521
869	0.1787229896
870	0.178707973
871	0.1786945117
872	0.1786736129
873	0.1786549004
874	0.1786192429
875	0.1786077101
876	0.1785735948
877	0.178560497
878	0.1785345595
879	0.1785222724
880	0.178494743
881	0.17847299
882	0.1784289892
883	0.1784046851
884	0.1783860901
885	0.1783572533
886	0.1783242734
887	0.1783038508
888	0.1782743565
889	0.1782531609
890	0.1782346749
891	0.1782038462
892	0.1781921089
893	0.1781539113
894	0.1781188576
895	0.1781074739
896	0.1780926623
897	0.178086803
898	0.1780734366
899	0.1780640658
900	0.1780515389
901	0.1780318627
902	0.1780022458
903	0.1779941606
904	0.177970698
905	0.1779397801
906	0.1779063639
907	0.1778843528
908	0.1778658716
909	0.1778470217
910	0.1778196894
911	0.1777786752
912	0.177763138
913	0.1777286806
914	0.1777059265
915	0.1776747405
916	0.1776610626
917	0.1776501488
918	0.1776299737
919	0.1776125326
920	0.1775954161
921	0.1775564076
922	0.1775167055
923	0.1774986906
924	0.177469697
925	0.1774555278
926	0.1774388138
927	0.1774100168
928	0.1773686572
929	0.1773450686
930	0.1773301149
931	0.1773222734
932	0.1773072476
933	0.1772950553
934	0.1772758217
935	0.1772346701
936	0.177199672
937	0.1771785451
938	0.1771446821
939	0.1771235412
940	0.1771096734
941	0.1770818063
942	0.1770691925
943	0.177040564
944	0.1770135098
945	0.1769815414
946	0.1769560375
947	0.1769366933
948	0.1769115694
949	0.1768852278
950	0.1768517968
951	0.1768272453
952	0.1768148691
953	0.1767961914
954	0.1767752438
955	0.1767512905
956	0.1767298728
957	0.1766956072
958	0.1766843265
959	0.176655655
960	0.1766369304
961	0.1766198604
962	0.1766091819
963	0.1766001806
964	0.1765911517
965	0.1765770157
966	0.1765554273
967	0.1765386282
968	0.1765289389
969	0.1765111628
970	0.1764863614
971	0.1764678481
972	0.1764534066
973	0.176411404
974	0.1763937774
975	0.1763806268
976	0.1763645821
977	0.1763527921
978	0.1763174698
979	0.1762926956
980	0.1762663029
981	0.176225795
982	0.1761951389
983	0.1761735882
984	0.1761358736
985	0.176121042
986	0.1761045627
987	0.1760758849
988	0.1760462851
989	0.1760368688
990	0.1760275357
991	0.1760092687
992	0.1759855186
993	0.1759706001
994	0.175949123
995	0.1759306414
996	0.1759119656
997	0.1758999215
998	0.1758712323
999	0.1758522767
